區域,類型,店名,營業時間,地址,電話,評價
西區,台式傳統早餐,中式早餐店,"11:30–22:00",40361台灣台中市西區向上北路284巷22號,0912 486 426,4.8
西區,台式傳統早餐,樂群早點(創始店),"11:30–22:00",403台灣台中市西區樂群街45號,04 2223 7329,3.9
西區,台式傳統早餐,台中古早味炒麵+綜合湯早餐店,"11:30–22:00",403台灣台中市西區中美街388號,04 2223 7329,4.5
北區,台式傳統早餐,巨人傳統早餐,"11:30–22:00",404台灣台中市北區錦中街72號,04 2231 5270,4.4
北區,台式傳統早餐,三佳早點,"11:30–22:00",404台灣台中市北區健行路436號,04 2235 5860,4.0
北區,台式傳統早餐,一心古早味蛋餅,"11:30–22:00",404台灣台中市北區錦中街口號,04 2223 7329,3.9
南屯區,台式傳統早餐,萬和路傳統早餐店,"11:30–22:00",408台灣台中市南屯區萬和路一段104號,04 2383 0462,4.0
南屯區,台式傳統早餐,古早味蛋餅中式早餐店,"11:30–22:00",408台灣台中市南屯區五權西路二段1028號,04 2382 4278,4.6
南屯區,台式傳統早餐,嘉香早餐,"11:30–22:00",408台灣台中市南屯區大業路143號,04 2327 2553,4.2
西區,西式輕食早餐,怡寶吐司 早餐 早午餐專賣,"11:30–22:00",403台灣台中市西區華美街86號,0966 860 367,4.8
西區,西式輕食早餐,找伍食Find Fifth,"11:30–22:00",403台灣台中市西區向上南路一段112號,04 2471 0587,4.8
西區,西式輕食早餐,7.335 Brunch 早午餐/義大利麵/咖啡,"11:30–22:00",403台灣台中市西區精誠路335號,0986 335 289,4.8
北區,西式輕食早餐,八又三分之一,"11:30–22:00",404台灣台中市北區美德街232號,04 2207 6957,4.8
北區,西式輕食早餐,貳食尋夢所,"11:30–22:00",404台灣台中市北區英才路196號,0972 623 875,4.8
北區,西式輕食早餐,如旅食所 Roller Travels Brunch,"11:30–22:00",404台灣台中市北區梅亭街254號,04 2236 5688,4.8
南屯區,西式輕食早餐,述憶灶咖 ｜早午餐*咖啡*私廚,"11:30–22:00",408台灣台中市南屯區大墩四街572號,0972 848 082,4.8
南屯區,西式輕食早餐,Morni莫尼早餐,"11:30–22:00",408台灣台中市南屯區大墩路5號,04 2473 3196,4.3
南屯區,西式輕食早餐,Cafe Joint 7分SO(大墩南店),"11:30–22:00",408台灣台中市南屯區南屯路二段207之1號,04 2472 9939,4.9
西區,健康營養早餐,今菲昔比健康屋(飲料營業至下午1點),"11:30–22:00",403台灣台中市西區存中街60號1樓,0935 895 091,4.7
西區,健康營養早餐,海吉兒全方位營養,"11:30–22:00",403台灣台中市西區向上北路272號,0985 013 415,5.0
西區,健康營養早餐,里肌肉活力早點,"11:30–22:00",403台灣台中市西區忠明路72號,04 2314 1087,5.0
北區,健康營養早餐,營養活力早餐,"11:30–22:00",404台灣台中市北區梅亭街77號,04 2235 6505,4.7
北區,健康營養早餐,順帶好食-健康早餐 | 三明治專賣,"11:30–22:00",404台灣台中市北區五常街169號,0909 698 242,4.7
北區,健康營養早餐,綠園健康生機美食,"11:30–22:00",404台灣台中市北區健行路410號,0985 621 908,4.6
南屯區,健康營養早餐,蛋白盒子健康低卡餐盒(南屯向心店),"11:30–22:00",408台灣台中市南屯區向心路41號,04 2389 0196,4.7
南屯區,健康營養早餐,晨園活力早午餐,"11:30–22:00",408台灣台中市南屯區大英街421號,04 2310 0203,4.4
南屯區,健康營養早餐,MEAT輕食/水煮便當/健身餐/輕食餐盒,"11:30–22:00",408台灣台中市南屯區南屯路二段581巷1號金豐百貨行左轉,0989 982 020,4.1
西區,異國風味早餐,S&A 午晚餐《西班牙烤肉》,"11:30–22:00",403台灣台中市西區五權西六街101號,0976 468 699,4.7
西區,異國風味早餐,馬椰爺 MaYaYa Kopitiam【咖椰吐司專賣】,"11:30–22:00",403台灣台中市西區華美街238號,0968 319 291,4.8
西區,異國風味早餐,主觀廚房.Subjective taste,"11:30–22:00",403台灣台中市西區公正路126號,04 2302 0699,4.6
北區,異國風味早餐,小莊素食早餐（異國料理）Vegetarian Chalet,"11:30–22:00",404台灣台中市北區原子街19號,04 2201 5123,4.9
南屯區,異國風味早餐,鈞泓家(嶺東店),"11:30–22:00",408台灣台中市南屯區永春路88號,04 2386 0030,4.6
南屯區,異國風味早餐,Lady Holi,"11:30–22:00",408023台灣台中市南屯區益昌六街80號,04 2389 7380,4.8
西區,必吃便當,禾農豐食,"11:30–22:00",403台灣台中市西區五權西三街11號,04 2376 0072,4.9
西區,必吃便當,慶飯飯便當專賣,"11:30–22:00",403台灣台中市西區昇平街132號,04 2305 0527,4.7
西區,必吃便當,宏佳火雞肉飯(向上店),"11:30–22:00",403台灣台中市西區向上路一段240號,04 2301 9666,4.8
北區,必吃便當,石蜜園,"11:30–22:00",404台灣台中市北區健行路432號,04 2231 2169,4.0
北區,必吃便當,燉悟亭精緻便當,"11:30–22:00",404台灣台中市北區健行路398號,04 2235 5017,4.7
北區,必吃便當,米匠-職人手作便當,"11:30–22:00",404台灣台中市北區自強街43巷30弄14-3號,04 2223 7329,4.7
南屯區,必吃便當,旺來便當商行(售完會提早休息),"11:30–22:00",408台灣台中市南屯區南屯路二段373號,04 2472 9966,4.7
南屯區,必吃便當,便當人I.M Bento(台中墩業店),"11:30–22:00",408台灣台中市南屯區大墩路717之5號,04 2323 8877,4.3
南屯區,必吃便當,津石家便當專賣,"11:30–22:00",40861台灣台中市南屯區大墩十二街150號,04 2320 0863,3.9
西區,美味熱炒,9妹ㄟ店,"11:30–22:00",403台灣台中市西區忠明南路453號,04 2376 1009,4.6
西區,美味熱炒,阿奇海鮮,"11:30–22:00",403台灣台中市西區民生路158號,04 2222 0717,4.2
西區,美味熱炒,575阿慶的快炒店,"11:30–22:00",403台灣台中市西區中華路一段20號,0931 788 907,4.8
北區,美味熱炒,佳賓海鮮鵝肉熱炒,"11:30–22:00",406台灣台中市北屯區北華街一號,0930 525 520,4.5
北區,美味熱炒,深海釣客海鮮熱炒燒烤，中午1100開始營業。澎湖海產。基隆海鮮,"11:30–22:00",404台灣台中市北區中清路一段262號,0972 127 176,4.4
北區,美味熱炒,灶福建炒麵,"11:30–22:00",404台灣台中市北區育才街27之1號一中商圈,04 2220 5777,3.4
南屯區,美味熱炒,百分百現炒平價美食,"11:30–22:00",408台灣台中市南屯區益文二街89號,04 2386 3607,4.4
南屯區,美味熱炒,阿三哥台式現炒,"11:30–22:00",408台灣台中市南屯區大墩路102號,04 2471 7566,4.1
南屯區,美味熱炒,熱點,"11:30–22:00",408台灣台中市南屯區大墩路78號,04 2473 1836,4.8
西區,經典飯麵,食之味麵店,"11:30–22:00",403台灣台中市西區金山路10-6號,0963 099 728,4.5
西區,經典飯麵,麵麵俱到,"11:30–22:00",403台灣台中市西區美村路一段159號,04 2326 8808,4.4
西區,經典飯麵,Concept La’麺KnockOut(總本店),"11:30–22:00",403台灣台中市西區忠誠街127號,04 2223 7329,4.5
北區,經典飯麵,小新贊新台式飲食,"11:30–22:00",404台灣台中市北区民权路406號1樓,04 2203 7278,4.3
北區,經典飯麵,雷亭拉麵(永興店),"11:30–22:00",404台灣台中市北區永興街30號,04 2236 8085,4.8
北區,經典飯麵,老向的店,"11:30–22:00",406台灣台中市北屯區北平路三段173號,04 2237 7016,4.1
南屯區,經典飯麵,南屯麵店,"11:30–22:00",408台灣台中市南屯區南屯路二段758號,04 2223 7329,4.5
南屯區,經典飯麵,品味香麵攤,"11:30–22:00",408台灣台中市南屯區南屯路二段430巷8之1號,0919 862 875,4.3
南屯區,經典飯麵,竹仔腳麵食館(老店),"11:30–22:00",408台灣台中市南屯區南屯路二段600號,0935 706 667,3.9
西區,特色小吃,梁王鹿港肉羹,"11:30–22:00",403台灣台中市西區昇平街130號,0989 188 130,4.7
西區,特色小吃,九食•食堂,"11:30–22:00",403台灣台中市西區中美街38-1號,0989 360 090,4.8
北區,特色小吃,尚珍滷味料理(永興店),"11:30–22:00",404台灣台中市北區德化街304號,0901 360 009,4.5
北區,特色小吃,吃吃炸粿,"11:30–22:00",404台灣台中市北區梅亭街253號,04 2236 5618,4.4
北區,特色小吃,大城小吃,"11:30–22:00",404台灣台中市北區錦南街46號,04 2233 2334,4.1
南屯區,特色小吃,雛菊見DAUSY HOUSE(台中南屯店),"11:30–22:00",408台灣台中市南屯區五權西路二段1112號,04 2380 0077,4.9
南屯區,特色小吃,探扒霸,"11:30–22:00",408台灣台中市南屯區環中路四段1368之28號,04 2479 3099,4.8
